------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, 2.4
EnvLogger Viewer version, 1.16
downloading device type, iphone
device, Laser Revolution
downloading mode, manual
------------------------------,--------------------
serial number, 04BB FA00 CD56 0D
custom name, SHe4fiddle
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 4809
time diff [logger-smartphone](sec), 92
lat, 22.317291
long, 114.228048
accuracy (m), 65.0
------------------------------,--------------------
time,temp
2021-08-16 11:19:06,27.0
2021-08-16 11:34:06,26.7
2021-08-16 11:49:06,26.4
2021-08-16 12:04:06,26.2
2021-08-16 12:19:06,26.2
2021-08-16 12:34:06,26.0
2021-08-16 12:49:06,25.8
2021-08-16 13:04:06,25.7
2021-08-16 13:19:06,25.7
2021-08-16 13:34:06,25.6
2021-08-16 13:49:06,25.4
2021-08-16 14:04:06,25.6
2021-08-16 14:19:06,25.6
2021-08-16 14:34:06,25.4
2021-08-16 14:49:06,25.5
2021-08-16 15:04:06,25.4
2021-08-16 15:19:06,25.3
2021-08-16 15:34:06,25.3
2021-08-16 15:49:06,25.3
2021-08-16 16:04:06,25.4
2021-08-16 16:19:06,25.6
2021-08-16 16:34:06,25.6
2021-08-16 16:49:06,25.3
2021-08-16 17:04:06,25.8
2021-08-16 17:19:06,25.5
2021-08-16 17:34:06,25.7
2021-08-16 17:49:06,25.7
2021-08-16 18:04:06,25.8
2021-08-16 18:19:06,25.6
2021-08-16 18:34:06,25.4
2021-08-16 18:49:06,25.7
2021-08-16 19:04:06,25.7
2021-08-16 19:19:06,26.0
2021-08-16 19:34:06,25.7
2021-08-16 19:49:06,25.9
2021-08-16 20:04:06,25.6
2021-08-16 20:19:06,25.4
2021-08-16 20:34:06,25.2
2021-08-16 20:49:06,25.2
2021-08-16 21:04:06,25.4
2021-08-16 21:19:06,25.5
2021-08-16 21:34:06,25.3
2021-08-16 21:49:06,25.2
2021-08-16 22:04:06,25.1
2021-08-16 22:19:06,25.3
2021-08-16 22:34:06,25.5
2021-08-16 22:49:06,25.7
2021-08-16 23:04:06,26.2
2021-08-16 23:19:06,26.6
2021-08-16 23:34:06,27.0
2021-08-16 23:49:06,27.3
2021-08-17 00:04:06,28.4
2021-08-17 00:19:06,28.8
2021-08-17 00:34:06,29.1
2021-08-17 00:49:06,33.6
2021-08-17 01:04:06,36.5
2021-08-17 01:19:06,38.6
2021-08-17 01:34:06,39.6
2021-08-17 01:49:06,40.5
2021-08-17 02:04:06,39.5
2021-08-17 02:19:06,41.7
2021-08-17 02:34:06,40.0
2021-08-17 02:49:06,39.8
2021-08-17 03:04:06,39.9
2021-08-17 03:19:06,40.0
2021-08-17 03:34:06,40.8
2021-08-17 03:49:06,40.4
2021-08-17 04:04:06,40.4
2021-08-17 04:19:06,41.5
2021-08-17 04:34:06,41.4
2021-08-17 04:49:06,41.1
2021-08-17 05:04:06,41.2
2021-08-17 05:19:06,41.0
2021-08-17 05:34:06,41.6
2021-08-17 05:49:06,40.5
2021-08-17 06:04:06,38.6
2021-08-17 06:19:06,38.5
2021-08-17 06:34:06,36.7
2021-08-17 06:49:06,37.5
2021-08-17 07:04:06,38.1
2021-08-17 07:19:06,37.2
2021-08-17 07:34:06,38.7
2021-08-17 07:49:06,39.0
